film_id,film,category,number_of_rentals
73,Bingo Talented,Sci-Fi,29
74,Birch Antitrust,Music,11
75,Bird Independence,Travel,11
76,Birdcage Casper,Music,9
77,Birds Perdition,New,18
78,Blackout Private,Animation,27
79,Blade Polish,Drama,22
80,Blanket Beverly,Family,12
81,Blindness Gun,Sci-Fi,14
82,Blood Argonauts,Family,10
83,Blues Instinct,Family,21
84,Boiled Dares,Travel,15
85,Bonnie Holocaust,Documentary,16
86,Boogie Amelie,Music,29
88,Born Spinal,Travel,12
89,Borrowers Bedazzled,Animation,22
90,Boulevard Mob,New,18
91,Bound Cheaper,Classics,24
92,Bowfinger Gables,Horror,11
93,Brannigan Sunrise,New,12
94,Braveheart Human,Family,5
95,Breakfast Goldfinger,New,17
96,Breaking Home,New,13
97,Bride Intrigue,Action,19
98,Bright Encounters,Drama,13
99,Bringing Hysterical,Comedy,20
100,Brooklyn Desert,Foreign,21
101,Brotherhood Blanket,Documentary,26
102,Bubble Grosse,Sports,6
103,Bucket Brotherhood,Travel,34
104,Bugsy Song,Foreign,11
105,Bull Shawshank,Action,16
106,Bulworth Commandments,Games,7
107,Bunch Minds,Drama,5
109,Butterfly Chocolat,New,30
110,Cabin Flash,Children,15
111,Caddyshack Jedi,Action,16
112,Calendar Gunfight,Foreign,21
113,California Birds,Sports,12
114,Camelot Vacation,Sci-Fi,27
115,Campus Remember,Action,19
116,Candidate Perdition,Classics,18
117,Candles Grapes,Games,23
118,Canyon Stock,Animation,19
119,Caper Motions,Comedy,24
120,Caribbean Liberty,Sports,9
121,Carol Texas,Animation,18
122,Carrie Bunch,Horror,23
123,Casablanca Super,Travel,16
124,Casper Dragonfly,Children,8
125,Cassidy Wyoming,Travel,6
126,Casualties Encino,Action,9
127,Cat Coneheads,Comedy,30
129,Cause Date,Documentary,21
130,Celebrity Horn,Action,24
131,Center Dinosaur,Classics,24
132,Chainsaw Uptown,Sci-Fi,21
133,Chamber Italian,Music,13
134,Champion Flatliners,Animation,13
135,Chance Resurrection,Sports,27
136,Chaplin License,New,8
137,Charade Duffel,Sci-Fi,15
138,Chariots Conspiracy,Sci-Fi,21
139,Chasing Fight,Family,20
140,Cheaper Clyde,Sci-Fi,20
141,Chicago North,Games,16
142,Chicken Hellfighters,Documentary,22
143,Chill Luck,Drama,22
145,Chisum Behavior,Family,13
146,Chitty Lock,Drama,8
147,Chocolat Harry,Family,20
149,Christmas Moonshine,Children,21
150,Cider Desire,Documentary,19
151,Cincinatti Whisperer,Sci-Fi,13
152,Circus Youth,Children,15
153,Citizen Shrek,Sci-Fi,13
154,Clash Freddy,Animation,25
155,Cleopatra Devil,New,18
156,Clerks Angels,Documentary,7
157,Clockwork Paradise,Children,10
158,Clones Pinocchio,Music,19
159,Closer Bang,Comedy,28
160,Club Graffiti,Animation,19
161,Clue Grail,Music,7
162,Clueless Bucket,Action,25
163,Clyde Theory,New,8
164,Coast Rainbow,Documentary,21
165,Coldblooded Darling,Sci-Fi,16
166,Color Philadelphia,Classics,24
167,Coma Head,Travel,26
168,Comancheros Enemy,Children,6
169,Comforts Rush,Travel,17
170,Command Darling,Foreign,16
172,Coneheads Smoochy,Drama,25
173,Confessions Maguire,Drama,14
174,Confidential Interview,Music,29
175,Confused Candles,Family,17
176,Congeniality Quest,Sports,22
177,Connecticut Tramp,Sci-Fi,13
178,Connection Microcosmos,Comedy,7
179,Conquerer Nuts,Drama,16
180,Conspiracy Spirit,Classics,5
181,Contact Anonymous,Travel,26
182,Control Anthem,Comedy,7
183,Conversation Downhill,Family,17
184,Core Suit,Classics,18
185,Cowboy Doom,Foreign,7
186,Craft Outfield,Drama,16
187,Cranes Reservoir,Sports,11
188,Crazy Home,Comedy,9
189,Creatures Shakespeare,Games,16
190,Creepers Kane,Classics,14
191,Crooked Frogmen,Children,23
193,Crossroads Casualties,Animation,21
194,Crow Grease,Action,12
196,Cruelty Unforgiven,Classics,7
197,Crusade Honey,Sports,8
199,Cupboard Sinners,Documentary,23
200,Curtain Videotape,Games,27
201,Cyclone Family,Foreign,15
202,Daddy Pittsburgh,Comedy,13
203,Daisy Menagerie,Sci-Fi,16
204,Dalmations Sweden,Drama,20
205,Dances None,Action,14
206,Dancing Fever,Documentary,27
207,Dangerous Uptown,Foreign,12
208,Dares Pluto,Animation,9
209,Darkness War,Drama,13
210,Darko Dorado,Action,11
211,Darling Breaking,Games,9
212,Darn Forrester,Action,18
213,Date Speed,Family,13
214,Daughter Madigan,Children,9
215,Dawn Pond,Games,18
216,Day Unfaithful,New,14
218,Deceiver Betrayed,Drama,21
219,Deep Crusade,Documentary,14
220,Deer Virginian,Music,29
222,Desert Poseidon,Horror,19
223,Desire Alien,Animation,8
224,Desperate Trainspotting,Travel,6
225,Destination Jerk,Drama,8
226,Destiny Saturday,New,16
227,Details Packer,Games,19
228,Detective Vision,Classics,27
229,Devil Desire,Action,15
230,Diary Panic,Drama,9
231,Dinosaur Secretary,Family,20
232,Dirty Ace,Games,15
233,Disciple Mother,Travel,19
234,Disturbing Scarface,Sci-Fi,26
235,Divide Monster,Sci-Fi,21
236,Divine Resurrection,Games,15
237,Divorce Shining,Sports,7
238,Doctor Grail,Children,7
239,Dogma Family,Animation,30
240,Dolls Rage,Sci-Fi,9
241,Donnie Alley,Animation,14
242,Doom Dancing,Comedy,21
243,Doors President,Animation,19
244,Dorado Notting,Music,27
245,Double Wrath,Animation,25
246,Doubtfire Labyrinth,Foreign,10
247,Downhill Enough,Comedy,25
248,Dozen Lion,Documentary,7
249,Dracula Crystal,Classics,21
250,Dragon Squad,Action,11
251,Dragonfly Strangers,New,18
252,Dream Pickup,Action,22
253,Drifter Commandments,Action,24
254,Driver Annie,Sports,18
255,Driving Polish,Music,21
256,Drop Waterfront,Sports,9
257,Drumline Cyclone,Travel,11
258,Drums Dynamite,Horror,13
259,Duck Racer,Animation,6
260,Dude Blindness,Sports,16
261,Duffel Apocalypse,Documentary,7
262,Dumbo Lust,Family,6
263,Durham Panky,Sports,26
264,Dwarfs Alter,Games,9
265,Dying Maker,Comedy,17
266,Dynamite Tarzan,Classics,25
267,Eagles Panky,New,22
268,Early Home,Animation,7
269,Earring Instinct,Family,19
270,Earth Vision,New,23
271,Easy Gladiator,Action,23
272,Edge Kissing,Drama,15
273,Effect Gladiator,Family,25
274,Egg Igby,Documentary,21
275,Egypt Tenenbaums,Horror,17
276,Element Freddy,Comedy,10
277,Elephant Trojan,Horror,14
278,Elf Murder,Music,7
279,Elizabeth Shane,Sports,10
280,Empire Malkovich,Children,21
281,Encino Elf,Games,19
282,Encounters Curtain,Drama,19
283,Ending Crowds,New,11
284,Enemy Odds,Music,29
285,English Bulworth,Sci-Fi,30
286,Enough Raging,Travel,18
287,Entrapment Satisfaction,Action,15
288,Escape Metropolis,Travel,25
289,Eve Resurrection,New,7
290,Everyone Craft,Foreign,13
291,Evolution Alter,Sports,12
292,Excitement Eve,Action,21
293,Exorcist Sting,Sports,13
294,Expecations Natural,Travel,18
295,Expendable Stallion,Documentary,28
296,Express Lonely,Sci-Fi,13
297,Extraordinary Conquerer,Classics,6
298,Eyes Driving,Sci-Fi,19
299,Factory Dragon,Travel,17
300,Falcon Volume,Animation,22
301,Family Sweet,Horror,29
302,Fantasia Park,Games,19
303,Fantasy Troopers,Action,26
304,Fargo Gandhi,Children,24
305,Fatal Haunted,New,28
306,Feathers Metal,Games,11
307,Fellowship Autumn,Travel,26
308,Ferris Mother,Comedy,17
309,Feud Frogmen,Family,25
310,Fever Empire,Games,5
311,Fiction Christmas,Foreign,19
312,Fiddler Lost,Sci-Fi,10
313,Fidelity Devil,Horror,21
314,Fight Jawbreaker,Animation,22
315,Finding Anaconda,Family,12
316,Fire Wolves,Games,7
317,Fireball Philadelphia,Comedy,21
319,Fish Opus,Sci-Fi,25
320,Flamingos Connecticut,New,23
321,Flash Wars,New,13
322,Flatliners Killer,Sports,22
323,Flight Lies,Sports,12
324,Flintstones Happiness,Comedy,17
326,Flying Hook,Animation,20
327,Fool Mockingbird,Action,23
328,Forever Candidate,Children,13
329,Forrest Sons,Action,18
330,Forrester Comancheros,Animation,27
331,Forward Temple,Games,32
333,Freaky Pocus,Music,17
334,Freddy Storm,Horror,23
335,Freedom Cleopatra,Comedy,5
336,French Holiday,Documentary,17
337,Frida Slipper,Foreign,11
338,Frisco Forrest,Sci-Fi,9
339,Frogmen Breaking,Travel,10
340,Frontier Cabin,New,6
341,Frost Head,Classics,30
342,Fugitive Maguire,Travel,11
343,Full Flatliners,Children,5
344,Fury Murder,Children,19
345,Gables Metropolis,Family,19
346,Galaxy Sweethearts,Classics,18
347,Games Bowfinger,Travel,14
348,Gandhi Kwai,Family,17
349,Gangs Pride,Animation,27
350,Garden Island,Sci-Fi,20
351,Gaslight Crusade,Horror,16
352,Gathering Calendar,Games,11
353,Gentlemen Stage,Foreign,23
354,Ghost Groundhog,Children,21
355,Ghostbusters Elf,Animation,9
356,Giant Troopers,Children,28
357,Gilbert Pelican,Classics,9
358,Gilmore Boiled,Classics,28
360,Glass Dying,Action,14
361,Gleaming Jawbreaker,Sports,29
362,Glory Tracy,Games,5
363,Go Purple,Music,20
364,Godfather Diary,New,8
365,Gold River,Comedy,14
366,Goldfinger Sensibility,Drama,24
367,Goldmine Tycoon,Sci-Fi,27
368,Gone Trouble,Drama,10
369,Goodfellas Salute,Sci-Fi,31
370,Gorgeous Bingo,Children,19
371,Gosford Donnie,Action,8
372,Graceland Dynamite,Sports,6
373,Graduate Lord,Children,16
374,Graffiti Love,Sci-Fi,30
375,Grail Frankenstein,Action,10
376,Grapes Fury,Foreign,22
377,Grease Youth,Family,21
378,Greatest North,Music,29
379,Greedy Roots,Drama,14
380,Greek Everyone,Foreign,17
381,Grinch Massage,Games,14
382,Grit Clockwork,Games,32
383,Groove Fiction,Sports,18
384,Grosse Wonderful,Music,8
385,Groundhog Uncut,Comedy,18
387,Gun Bonnie,Games,25
388,Gunfight Moon,Comedy,24
389,Gunfighter Mussolini,Sports,12
390,Guys Falcon,Sci-Fi,9
391,Half Outfield,Family,26
392,Hall Cassidy,Children,16
393,Halloween Nuts,Documentary,10
394,Hamlet Wisdom,Sci-Fi,14
395,Handicap Boondock,Action,28
396,Hanging Deep,Drama,19
397,Hanky October,Sci-Fi,26
398,Hanover Galaxy,Music,17
399,Happiness United,Foreign,6
400,Hardly Robbers,Documentary,4
401,Harold French,Drama,8
402,Harper Dying,Animation,20
403,Harry Idaho,Drama,30
405,Haunted Antitrust,Travel,6
406,Haunting Pianist,Games,22
407,Hawk Chill,Documentary,7
408,Head Stranger,Games,22
409,Heartbreakers Bright,Children,20
410,Heaven Freedom,Comedy,18
411,Heavenly Gun,Music,7
412,Heavyweights Beast,Documentary,23
413,Hedwig Alter,Comedy,12
414,Hellfighters Sierra,Foreign,20
415,High Encino,Horror,22
416,Highball Potter,Foreign,21
417,Hills Neighbors,Action,25
418,Hobbit Alien,Drama,31
420,Holes Brannigan,Sports,15
421,Holiday Games,Foreign,15
422,Hollow Jeopardy,Sci-Fi,10
423,Hollywood Anonymous,Children,13
424,Holocaust Highball,Children,17
425,Holy Tadpole,Classics,9
426,Home Pity,Music,14
427,Homeward Cider,Documentary,16
428,Homicide Peach,Family,22
429,Honey Ties,Sports,19
430,Hook Chariots,Animation,13
431,Hoosiers Birdcage,Foreign,8
432,Hope Tootsie,Classics,18
433,Horn Working,Animation,24
434,Horror Reign,Travel,27
435,Hotel Happiness,Foreign,9
436,Hours Rage,New,19
437,House Dynamite,Family,23
438,Human Graffiti,Games,15
439,Hunchback Impossible,Drama,20
440,Hunger Roof,Foreign,13
441,Hunter Alter,Documentary,5
442,Hunting Musketeers,Family,15
443,Hurricane Affair,Comedy,24
444,Hustler Party,Comedy,22
445,Hyde Doctor,Classics,26
446,Hysterical Grail,Sports,15
447,Ice Crossing,Games,24
448,Idaho Love,New,17
449,Identity Lover,Sci-Fi,13
450,Idols Snatchers,Children,30
451,Igby Maker,Travel,19
452,Illusion Amelie,Foreign,15
453,Image Princess,Sports,14
454,Impact Aladdin,Music,9
455,Impossible Prejudice,Foreign,14
456,Inch Jet,Animation,18
457,Independence Hotel,Documentary,19
458,Indian Love,Family,16
459,Informer Double,Foreign,5
460,Innocent Usual,Foreign,26
461,Insects Stone,Animation,18
462,Insider Arizona,Music,20
463,Instinct Airport,Sports,18
464,Intentions Empire,Animation,17
465,Interview Liaisons,New,20
466,Intolerable Intentions,Documentary,9
467,Intrigue Worst,Foreign,20
468,Invasion Cyclone,Children,27
469,Iron Moon,Classics,11
470,Ishtar Rocketeer,Animation,7
471,Island Exorcist,Classics,26
472,Italian African,Travel,6
473,Jacket Frisco,Drama,18
474,Jade Bunch,Sports,18
475,Japanese Run,Horror,6
476,Jason Trap,Family,24
477,Jawbreaker Brooklyn,Music,10
478,Jaws Harry,Comedy,14
479,Jedi Beneath,Family,19
480,Jeepers Wedding,Classics,16
481,Jekyll Frogmen,New,17
482,Jeopardy Encino,Classics,10
483,Jericho Mulan,Games,17
484,Jerk Paycheck,Classics,20
485,Jersey Sassy,Children,6
486,Jet Neighbors,Foreign,20
487,Jingle Sagebrush,Classics,13
488,Joon Northwest,Sports,17
489,Juggler Hardly,Animation,32
490,Jumanji Blade,New,8
491,Jumping Wrath,Children,24
492,Jungle Closer,New,9
493,Kane Exorcist,Foreign,14
494,Karate Moon,Horror,23
496,Kick Savannah,Travel,20
498,Killer Innocent,Family,6
499,King Evolution,Family,9
500,Kiss Glory,Foreign,22
501,Kissing Dolls,Action,20
502,Knock Warlock,Comedy,24
503,Kramer Chocolate,Sports,9
504,Kwai Homeward,Drama,23
505,Labyrinth League,Children,15
506,Lady Stage,Horror,17
507,Ladybugs Armageddon,Games,6
508,Lambs Cincinatti,Games,10
509,Language Cowboy,Children,11
510,Lawless Vision,Animation,17
511,Lawrence Love,Action,13
512,League Hellfighters,Classics,17
513,Leathernecks Dwarfs,Travel,7
514,Lebowski Soldiers,Drama,21
515,Legally Secretary,Children,9
516,Legend Jedi,Music,9
517,Lesson Cleopatra,Sports,7
518,Liaisons Sweet,Travel,22
519,Liberty Magnificent,Sports,12
520,License Weekend,Sci-Fi,7
521,Lies Treatment,Drama,27
522,Life Twisted,Comedy,10
523,Lights Deer,Classics,8
524,Lion Uncut,Comedy,18
525,Loathing Legally,Classics,27
526,Lock Rear,Travel,16
527,Lola Agent,Horror,24
528,Lolita World,Family,10
529,Lonely Elephant,Comedy,15
530,Lord Arizona,Action,11
531,Lose Inch,Foreign,27
532,Loser Hustler,Sports,15
533,Lost Bird,Foreign,12
534,Louisiana Harry,Family,17
535,Love Suicides,Horror,20
536,Lovely Jingle,Classics,14
537,Lover Truman,Classics,10
538,Loverboy Attacks,New,12
539,Luck Opus,Drama,10
540,Lucky Flying,Music,13
541,Luke Mummy,Animation,7
542,Lust Lock,Action,15
543,Madigan Dorado,Travel,10
544,Madison Trap,Documentary,15
545,Madness Attacks,Foreign,25
546,Madre Gables,Games,14
547,Magic Mallrats,Children,7
548,Magnificent Chitty,Classics,8
549,Magnolia Forrester,Action,11
550,Maguire Apache,Family,9
551,Maiden Home,New,24
552,Majestic Floats,Documentary,17
553,Maker Gables,Children,10
554,Malkovich Pet,Classics,26
555,Mallrats United,Comedy,25
556,Maltese Hope,Games,22
557,Manchurian Curtain,Family,15
558,Mannequin Worst,New,5
559,Married Go,Sci-Fi,30
560,Mars Roman,Games,19
561,Mask Peach,New,17
562,Masked Bubble,Music,20
563,Massacre Usual,Games,30
564,Massage Image,Animation,12
565,Matrix Snowman,Foreign,9
566,Maude Mod,Foreign,8
567,Meet Chocolate,Foreign,12
568,Memento Zoolander,Comedy,13
569,Menagerie Rushmore,Animation,7
570,Mermaid Insects,Sports,16
571,Metal Armageddon,Documentary,25
572,Metropolis Coma,Sci-Fi,26
573,Microcosmos Paradise,Children,13
574,Midnight Westward,Action,17
575,Midsummer Groundhog,Documentary,22
576,Mighty Luck,Documentary,12
577,Mile Mulan,Sports,13
578,Million Ace,Classics,20
579,Minds Truman,Action,20
580,Mine Titans,New,19
581,Minority Kiss,Music,12
582,Miracle Virtual,Animation,9
583,Mission Zoolander,Animation,18
584,Mixed Doors,Foreign,4
585,Mob Duffel,Drama,12
586,Mockingbird Hollywood,Action,24
587,Mod Secretary,Documentary,11
588,Model Fish,Children,15
589,Modern Dorado,Documentary,15
590,Money Harold,New,20
591,Monsoon Cause,Games,9
592,Monster Spartacus,Music,15
593,Monterey Labyrinth,Horror,13
594,Montezuma Command,Action,9
595,Moon Bunch,Foreign,29
596,Moonshine Cabin,Games,21
597,Moonwalker Fool,Games,13
598,Mosquito Armageddon,Sports,15
599,Mother Oleander,Sports,14
600,Motions Details,Horror,16
601,Moulin Wake,Travel,16
602,Mourning Purple,Sci-Fi,21
603,Movie Shakespeare,Family,27
604,Mulan Moon,Comedy,13
605,Mulholland Beast,Foreign,7
606,Mummy Creatures,Sports,16
608,Murder Antitrust,Children,23
609,Muscle Bright,Travel,30
610,Music Boondock,Family,19
611,Musketeers Wait,Classics,17
612,Mussolini Spoilers,Sports,5
613,Mystic Truman,Comedy,10
614,Name Detective,Games,23
615,Nash Chocolat,Animation,15
616,National Story,Documentary,19
617,Natural Stock,Family,13
618,Necklace Outbreak,Drama,15
619,Neighbors Charade,Sports,19
620,Nemo Campus,Sci-Fi,14
621,Network Peak,Family,31
622,Newsies Story,Documentary,7
623,Newton Labyrinth,Foreign,17
624,Nightmare Chill,Games,25
625,None Spiking,Sci-Fi,27
626,Noon Papi,Children,17
627,North Tequila,Documentary,11
628,Northwest Polish,Sports,20
629,Notorious Reunion,Documentary,14
630,Notting Speakeasy,Drama,10
631,Novocaine Flight,Sports,19
632,Nuts Ties,New,9
633,October Submarine,Classics,11
634,Odds Boogie,Family,15
635,Oklahoma Jumanji,New,6
636,Oleander Clue,Music,10
637,Open African,Sci-Fi,21
638,Operation Operation,Comedy,27
639,Opposite Necklace,Family,13
640,Opus Ice,Foreign,11
641,Orange Grapes,Foreign,24
643,Orient Closer,Drama,17
644,Oscar Gold,Animation,25
645,Others Soup,Travel,23
646,Outbreak Divine,Games,23
647,Outfield Massacre,Music,20
648,Outlaw Hanky,Travel,14
649,Oz Liaisons,Animation,24
650,Pacific Amistad,Documentary,24
651,Packer Madigan,Animation,22
652,Pajama Jawbreaker,Classics,14
653,Panic Club,Horror,7
654,Panky Submarine,Games,15
655,Panther Reds,Sci-Fi,15
656,Papi Necklace,Travel,8
657,Paradise Sabrina,Comedy,18
658,Paris Weekend,Horror,14
659,Park Citizen,Action,8
660,Party Knock,Comedy,13
661,Past Suicides,Foreign,13
662,Paths Control,Drama,10
663,Patient Sister,Classics,19
664,Patriot Roman,Action,16
665,Patton Interview,Horror,23
666,Paycheck Wait,Drama,16
667,Peach Innocent,Sports,14
668,Peak Forever,Sports,20
670,Pelican Comforts,Documentary,26
672,Perfect Groove,Comedy,17
673,Personal Ladybugs,Music,14
674,Pet Haunting,Foreign,8
675,Phantom Glory,New,6
676,Philadelphia Wife,Sports,23
677,Pianist Outfield,New,21
678,Pickup Driving,Sports,16
679,Pilot Hoosiers,Family,16
680,Pinocchio Simon,Comedy,20
681,Pirates Roxanne,Sports,21
682,Pittsburgh Hunchback,Family,12
683,Pity Bound,Drama,26
684,Pizza Jumanji,Games,7
685,Platoon Instinct,New,9
686,Pluto Oleander,New,16
687,Pocus Pulp,Documentary,26
688,Polish Brooklyn,Children,18
689,Pollock Deliverance,Foreign,18
690,Pond Seattle,Animation,19
691,Poseidon Forever,Sports,17
692,Potluck Mixed,Animation,11
693,Potter Connecticut,Animation,17
694,Prejudice Oleander,Classics,20
695,President Bang,Family,7
696,Pride Alamo,Animation,16
697,Primary Glass,Action,27
698,Princess Giant,Documentary,27
699,Private Drop,Games,5
700,Prix Undefeated,Family,11
702,Pulp Beverly,Horror,30
703,Punk Divorce,Animation,8
704,Pure Runner,Comedy,16
705,Purple Movie,Foreign,13
706,Queen Luke,Drama,22
707,Quest Mussolini,Action,20
708,Quills Bull,Documentary,16
709,Racer Egg,Drama,18
710,Rage Games,Family,19
711,Raging Airplane,Sci-Fi,13
714,Random Go,Sci-Fi,9
715,Range Moonwalker,Family,27
716,Reap Unfaithful,Horror,16
717,Rear Trading,Action,17
718,Rebel Airport,Music,8
719,Records Zorro,Sports,8
720,Redemption Comforts,New,20
721,Reds Pocus,Music,9
722,Reef Salute,Horror,11
723,Reign Gentlemen,Sci-Fi,20
724,Remember Diary,Family,18
725,Requiem Tycoon,Classics,19
726,Reservoir Adaptation,Foreign,10
727,Resurrection Silverado,Family,21
728,Reunion Witches,Drama,20
729,Rider Caddyshack,Sports,11
730,Ridgemont Submarine,New,32
731,Right Cranes,Classics,10
732,Rings Heartbreakers,Action,15
733,River Outlaw,Sports,20
734,Road Roxanne,Documentary,19
735,Robbers Joon,Children,31
736,Robbery Bright,Family,13
737,Rock Instinct,Horror,17
738,Rocketeer Mother,Foreign,33
739,Rocky War,Drama,16
740,Rollercoaster Bringing,Horror,10
741,Roman Punk,Music,24
743,Room Roman,Animation,20
744,Roots Remember,Classics,17
745,Roses Treasure,Sports,28
746,Rouge Squad,Games,18
747,Roxanne Rebel,Games,19
748,Rugrats Shakespeare,Action,30
749,Rules Human,Horror,16
750,Run Pacific,New,10
751,Runaway Tenenbaums,New,8
752,Runner Madigan,Music,8
753,Rush Goodfellas,Family,31
754,Rushmore Mermaid,Comedy,6
755,Sabrina Midnight,Children,21
756,Saddle Antitrust,Comedy,14
757,Sagebrush Clueless,Documentary,16
758,Saints Bride,Drama,8
759,Salute Apollo,New,23
760,Samurai Lion,New,25
761,Santa Paris,Children,11
762,Sassy Packer,Games,13
763,Satisfaction Confidential,Sports,17
764,Saturday Lambs,Sports,28
765,Saturn Name,Comedy,13
766,Savannah Town,Drama,12
767,Scalawag Duck,Music,32
768,Scarface Bang,Children,18
769,School Jacket,Foreign,6
770,Scissorhands Slums,Foreign,15
771,Scorpion Apollo,Drama,23
772,Sea Virgin,Drama,22
773,Seabiscuit Punk,Sports,26
774,Searchers Wait,Comedy,14
775,Seattle Expecations,Drama,24
776,Secret Groundhog,Documentary,21
777,Secretary Rouge,Sports,18
778,Secrets Paradise,Family,20
779,Sense Greek,Sports,7
780,Sensibility Rear,Family,10
781,Seven Swarm,Games,5
782,Shakespeare Saddle,Sports,22
783,Shane Darkness,Travel,14
784,Shanghai Tycoon,Travel,14
785,Shawshank Bubble,Travel,19
786,Shepherd Midsummer,Children,25
787,Shining Roses,Travel,8
788,Ship Wonderland,Documentary,15
789,Shock Cabin,Foreign,30
790,Shootist Superfly,Drama,24
791,Show Lord,Documentary,25
792,Shrek License,Foreign,15
793,Shrunk Divine,Action,14
794,Side Ark,Action,12
795,Siege Madre,Family,15
796,Sierra Divide,Sports,15
797,Silence Kane,Music,16
798,Silverado Goldfinger,Sci-Fi,12
799,Simon North,Horror,6
800,Sinners Atlantis,Horror,22
803,Slacker Liaisons,Drama,17
804,Sleeping Suspects,Horror,24
805,Sleepless Monsoon,Animation,20
806,Sleepy Japanese,New,21
807,Sleuth Orient,Games,21
808,Sling Luke,Classics,6
809,Slipper Fidelity,Sports,16
810,Slums Duck,Family,24
811,Smile Earring,Travel,10
812,Smoking Barbarella,Documentary,18
813,Smoochy Control,Sports,12
814,Snatch Slipper,Comedy,22
815,Snatchers Montezuma,Classics,9
816,Snowman Rollercoaster,Animation,23
817,Soldiers Evolution,Sci-Fi,8
818,Something Duck,Drama,19
819,Song Hedwig,Music,11
820,Sons Interview,Animation,15
821,Sorority Queen,Foreign,12
822,Soup Wisdom,Family,8
823,South Wait,Action,22
824,Spartacus Cheaper,Family,9
825,Speakeasy Date,Action,12
826,Speed Suit,Travel,9
827,Spice Sorority,Drama,20
828,Spiking Element,Classics,13
829,Spinal Rocky,Family,13
830,Spirit Flintstones,Horror,15
831,Spirited Casualties,Sci-Fi,11
832,Splash Gump,Family,14
833,Splendor Patton,Children,21
834,Spoilers Hellfighters,Documentary,10
835,Spy Mile,Games,27
836,Squad Fish,Sports,7
837,Stage World,Comedy,10
838,Stagecoach Armageddon,Action,26
839,Stallion Sundance,Sci-Fi,7
840,Stampede Disturbing,Games,14
841,Star Operation,Sports,21
842,State Wasteland,Games,13
843,Steel Santa,Classics,23
844,Steers Armageddon,Sports,15
845,Stepmom Dream,Foreign,20
846,Sting Personal,New,21
847,Stock Glass,New,14
848,Stone Fire,Travel,11
849,Storm Happiness,Animation,29
850,Story Side,Action,28
851,Straight Hours,Sports,20
852,Strangelove Desire,Children,24
853,Stranger Strangers,Children,11
854,Strangers Graffiti,Horror,17
855,Streak Ridgemont,Documentary,16
856,Streetcar Intentions,Horror,25
857,Strictly Scarface,Comedy,23
858,Submarine Bed,Comedy,15
859,Sugar Wonka,Animation,17
861,Suit Walls,Games,21
862,Summer Scarface,Classics,16
863,Sun Confessions,Sci-Fi,25
864,Sundance Invasion,Children,19
865,Sunrise League,Animation,24
866,Sunset Racer,Family,8
867,Super Wyoming,Family,13
868,Superfly Trip,Travel,10
869,Suspects Quills,Action,30
870,Swarm Gold,Horror,27
871,Sweden Shining,Comedy,18
872,Sweet Brotherhood,Travel,15
873,Sweethearts Suspects,Children,29
875,Talented Homicide,Sports,29
876,Tarzan Videotape,Horror,8
877,Taxi Kick,Music,17
878,Teen Apollo,Travel,17
879,Telegraph Voyage,Music,27
880,Telemark Heartbreakers,Animation,25
881,Temple Attraction,Horror,12
882,Tenenbaums Command,Drama,13
